"table","column"
"product_master","ExternalIdentifier"
"product_master","IsDeleted"
"product_master","CreatedBy"
"product_master","CreatedDate"
"product_master","UpdatedBy"
"product_master","UpdatedDate"
"sale_header_master","SaleHeaderId"
"sale_header_master","LicenseeId"
"sale_header_master","SoldToLicenseeId"
"sale_header_master","SaleType"
"sale_header_master","SaleDate"
"sale_header_master","ExternalIdentifier"
"sale_header_master","IsDeleted"
"sale_header_master","CreatedBy"
"sale_header_master","CreatedDate"
"sale_header_master","UpdatedBy"
"sale_header_master","UpdatedDate"
"sales_detail_master","SaleDetailId"
"sales_detail_master","SaleHeaderId"
"sales_detail_master","InventoryId"
"sales_detail_master","PlantId"
"sales_detail_master","Quantity"
"sales_detail_master","UnitPrice"
"sales_detail_master","Discount"
"sales_detail_master","SalesTax"
"sales_detail_master","OtherTax"
"sales_detail_master","ExternalIdentifier"
"sales_detail_master","IsDeleted"
"sales_detail_master","CreatedBy"
"sales_detail_master","CreatedDate"
"sales_detail_master","UpdatedBy"
"sales_detail_master","UpdatedDate"
"strains_master","StrainId"
"strains_master","AssociateId"
"strains_master","LicenseeId"
"strains_master","StrainType"
"strains_master","Name"
"strains_master","IsDeleted"
"strains_master","CreatedBy"
"strains_master","CreatedDate"
"strains_master","UpdatedBy"
"strains_master","UpdatedDate"
"transported_items_master","TransportedItemsID"
"transported_items_master","ExternalManifestIdentifier"
"transported_items_master","InventoryExternalIdentifier"
"transported_items_master","PlantExternalIdentifier"
"transported_items_master","Description"
"transported_items_master","ProductType"
"transported_items_master","Medical"
"transported_items_master","InventoryType"
"transported_items_master","Strain"
"transported_items_master","Quantity"
"transported_items_master","UOM"
"transported_items_master","WeightPerUnit"
"transported_items_master","ServingsPerUnit"
"transported_items_master","ExternalIdentifier"
"transported_items_master","CreatedBy"
"transported_items_master","CreatedDate"
"transported_items_master","UpdatedBy"
"transported_items_master","UpdatedDate"
"transported_items_master","RecordCreatedBy"
"transported_items_master","RecordCreatedDate"
"transported_items_master","RecordUpdatedBy"
"transported_items_master","RecordUpdatedDate"
"transported_items_master","IsDeleted"
"transported_items_master","Operation"
"transported_items_master","ErrorMessage"
